step,episode,timestamp,env/episode_length,env/episode_reward,env/score_diff,env/win_rate_100,train/epsilon,train/loss,eval/avg_score_diff,eval/avg_steps,eval/losses,eval/win_rate,eval/wins
115,33,2026-01-04T10:38:24.834671,26,0.5069665917602996,3,0.6176470588235294,0.999354,0.0014585330500267446,,,,,
119,34,2026-01-04T10:38:29.797793,29,0.47886966292134825,-10,0.6,0.999335,0.0019688520551426336,,,,,
123,35,2026-01-04T10:38:34.668580,26,0.48127408239700376,1,0.6111111111111112,0.999316,0.0013174251798773184,,,,,
127,36,2026-01-04T10:38:39.650858,26,1.5337439700374533,10,0.6216216216216216,0.999297,0.0017680897726677358,,,,,
131,37,2026-01-04T10:38:44.633118,26,0.4556391760299625,0,0.6052631578947368,0.999278,0.0026144794101128355,,,,,
135,38,2026-01-04T10:38:49.593174,25,1.5399629962546817,11,0.6153846153846154,0.999259,0.00216915768396575,,,,,
138,39,2026-01-04T10:38:53.452176,26,0.4659419475655431,-8,0.6,0.99924,0.003428474456692735,,,,,
141,40,2026-01-04T10:38:57.286138,24,0.46502194756554305,1,0.6097560975609756,0.999221,0.0008879022595162193,,,,,
145,41,2026-01-04T10:39:02.306213,31,1.5971534082397005,3,0.6190476190476191,0.999202,0.000837987769045867,,,,,
149,42,2026-01-04T10:39:07.367359,29,0.5304926591760301,-5,0.6046511627906976,0.999183,0.002275009799632244,,,,,
153,43,2026-01-04T10:39:12.289968,25,1.5190179026217228,10,0.6136363636363636,0.999164,0.003517153672873974,,,,,
156,44,2026-01-04T10:39:16.071838,28,0.43697348314606743,-21,0.6,0.999145,0.0011081799554328124,,,,,
160,45,2026-01-04T10:39:21.033381,26,0.4803056928838951,2,0.6086956521739131,0.999126,0.002874993660952896,,,,,
164,46,2026-01-04T10:39:26.005874,30,1.5993590262172284,9,0.6170212765957447,0.999107,0.0012181728234281763,,,,,
169,47,2026-01-04T10:39:32.206599,31,1.6539664419475657,13,0.625,0.999088,0.001659776724409312,,,,,
173,48,2026-01-04T10:39:37.227380,27,0.48546749063670414,-5,0.6122448979591837,0.999069,0.002107313775923103,,,,,
178,49,2026-01-04T10:39:43.331498,29,1.6732937827715355,24,0.62,0.99905,0.0008449892222415656,,,,,
181,50,2026-01-04T10:39:47.237507,27,0.46844546816479393,-14,0.6078431372549019,0.999031,0.007788815535604954,,,,,
185,51,2026-01-04T10:39:52.306445,28,0.5561025468164794,-3,0.5961538461538461,0.999012,0.001467723588575609,,,,,
