step,episode,timestamp,env/episode_length,env/episode_reward,env/score_diff,env/win_rate_100,train/epsilon,train/loss,eval/avg_score_diff,eval/avg_steps,eval/losses,eval/win_rate,eval/wins
308,83,2026-01-04T20:20:59.309790,28,0.5704779775280899,-1,0.5476190476190477,0.998404,0.004239376983605325,,,,,
312,84,2026-01-04T20:21:04.364725,28,0.5226665917602995,-8,0.5411764705882353,0.998385,0.004985237377695739,,,,,
316,85,2026-01-04T20:21:09.505588,28,1.5992098876404497,24,0.5465116279069767,0.998366,0.002296953374752775,,,,,
320,86,2026-01-04T20:21:14.462687,27,1.6336718352059927,22,0.5517241379310345,0.998347,0.0019084402010776103,,,,,
324,87,2026-01-04T20:21:19.491068,28,1.556174531835206,7,0.5568181818181818,0.998328,0.002866760187316686,,,,,
328,88,2026-01-04T20:21:24.541467,29,1.5637476404494384,6,0.5617977528089888,0.998309,0.0013090551656205207,,,,,
331,89,2026-01-04T20:21:28.340247,25,0.4686647940074907,-3,0.5555555555555556,0.99829,0.000743360248937582,,,,,
335,90,2026-01-04T20:21:33.350292,28,1.5856231460674155,9,0.5604395604395604,0.998271,0.0030478844419121742,,,,,
339,91,2026-01-04T20:21:38.336139,25,1.5187679400749063,14,0.5652173913043478,0.998252,0.005568868189584464,,,,,
343,92,2026-01-04T20:21:43.316591,26,1.5062372284644194,7,0.5698924731182796,0.998233,0.0032506166317034513,,,,,
347,93,2026-01-04T20:21:48.359101,26,0.481474382022472,-5,0.5638297872340425,0.998214,0.0034654081391636282,,,,,
351,94,2026-01-04T20:21:53.352515,29,1.5963822471910114,8,0.5684210526315789,0.998195,0.006551593454787508,,,,,
356,95,2026-01-04T20:21:59.638284,34,0.7077345318352061,-1,0.5625,0.998176,0.0028498541796579957,,,,,
360,96,2026-01-04T20:22:04.645442,30,0.5699639700374531,-1,0.5567010309278351,0.998157,0.0033418418606743217,,,,,
364,97,2026-01-04T20:22:09.739369,26,1.5524236704119851,10,0.5612244897959183,0.998138,0.0031604233954567462,,,,,
368,98,2026-01-04T20:22:14.777818,28,0.5195602247191011,-2,0.5555555555555556,0.998119,0.0034400103031657636,,,,,
372,99,2026-01-04T20:22:19.825416,31,0.5768107116104868,-2,0.55,0.9981,0.0032010650320444256,,,,,
372,99,2026-01-04T20:22:25.862518,,,,,,,6.5,26,0,1.0,10
376,100,2026-01-04T20:22:32.884653,25,1.496403745318352,5,0.55,0.998081,0.0026753017446026206,,,,,
380,101,2026-01-04T20:22:37.914478,25,1.4659677902621722,2,0.56,0.998062,0.008752971887588501,,,,,
385,102,2026-01-04T20:22:44.175507,32,1.6612050936329585,10,0.57,0.998043,0.00599690624512732,,,,,
389,103,2026-01-04T20:22:49.256479,28,0.5437791011235955,5,0.58,0.998024,0.002637273573782295,,,,,
393,104,2026-01-04T20:22:54.336289,25,1.5298865917602997,8,0.59,0.998005,0.0021248041884973645,,,,,
397,105,2026-01-04T20:22:59.361857,30,0.5649506367041198,1,0.6,0.997986,0.007946742931380868,,,,,
401,106,2026-01-04T20:23:04.347541,26,0.4849522846441948,0,0.6,0.997967,0.00386809092015028,,,,,
404,107,2026-01-04T20:23:08.208649,27,0.4405293632958802,-15,0.6,0.997948,0.00425930538525184,,,,,
408,108,2026-01-04T20:23:13.358565,28,1.5911275655430712,9,0.6,0.997929,0.00437110336497426,,,,,
412,109,2026-01-04T20:23:18.474251,30,0.5539275655430712,-9,0.59,0.99791,0.002916566241765395,,,,,
415,110,2026-01-04T20:23:22.332100,24,0.48578449438202254,-8,0.58,0.997891,0.0026478654084106288,,,,,
419,111,2026-01-04T20:23:27.369514,23,1.5304265917602997,15,0.59,0.997872,0.0023299560707528144,,,,,
422,112,2026-01-04T20:23:31.332218,25,0.4991349063670413,-4,0.58,0.997853,0.0017618732526898384,,,,,
426,113,2026-01-04T20:23:36.360853,31,0.5662385018726591,-4,0.57,0.997834,0.003170465992297977,,,,,
430,114,2026-01-04T20:23:41.301407,23,1.4836553558052434,15,0.57,0.997815,0.002008759562158957,,,,,
434,115,2026-01-04T20:23:46.286011,26,1.5090155056179777,8,0.58,0.997796,0.0025264056166633964,,,,,
437,116,2026-01-04T20:23:50.138882,25,0.45094561797752813,-6,0.57,0.997777,0.0021490040623272457,,,,,
440,117,2026-01-04T20:23:54.008345,24,0.4325720599250936,-6,0.57,0.997758,0.0018946707908374567,,,,,
444,118,2026-01-04T20:23:59.027628,28,1.5795450187265918,15,0.58,0.997739,0.003143126581562683,,,,,
448,119,2026-01-04T20:24:04.080013,27,1.5788065917602996,13,0.58,0.99772,0.002303198038134724,,,,,
452,120,2026-01-04T20:24:09.040440,29,1.6119595505617976,14,0.58,0.997701,0.0022428425727412105,,,,,
456,121,2026-01-04T20:24:14.041465,27,1.5761299625468166,15,0.59,0.997682,0.0034105864469893277,,,,,
459,122,2026-01-04T20:24:17.915415,26,0.4961331835205992,-5,0.59,0.997663,0.0024795878756170473,,,,,
463,123,2026-01-04T20:24:22.986073,28,0.5369180524344569,0,0.58,0.997644,0.0037934644788037986,,,,,
467,124,2026-01-04T20:24:28.040933,27,1.5247316853932582,4,0.58,0.997625,0.0016683257126715034,,,,,
471,125,2026-01-04T20:24:33.038898,28,0.5491114606741575,0,0.58,0.997606,0.0015344373532570899,,,,,
